title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
Insidious,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",2011-03-31,2011,3,31,6.947,6303,45.009,"['FilmDistrict', 'Stage 6 Films', 'Alliance Films', 'IM Global', 'Haunted Movies', 'Blumhouse Productions', 'Solana Films']",103,1,99,98,65.6,"['Horror', 'Thriller']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Super 8,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",2011-06-08,2011,6,8,6.76,6205,27.49,"['Bad Robot', 'Amblin Entertainment', 'Paramount', 'K/O Camera Toys']",112,50,260,210,4.2,"['Thriller', 'Science Fiction', 'Mystery']",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011-04-03,2011,4,3,6.72,6204,49.121,"['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",96,90,484,394,4.4,"['Animation', 'Adventure', 'Comedy', 'Family']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",2011-03-02,2011,3,2,6.825,5975,51.757,"['Paramount', 'Nickelodeon Movies', 'GK Films', 'Blind Wink', 'Industrial Light & Magic']",107,135,245,110,0.8,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Horrible Bosses,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",2011-07-08,2011,7,8,6.565,5941,22.45,"['New Line Cinema', 'Rat Entertainment']",98,35,209,174,5.0,"['Comedy', 'Crime']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Contagion,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",2011-09-08,2011,9,8,6.636,5669,21.699,"['Participant', 'Imagenation Abu Dhabi FZ', 'Double Feature Films', 'Regency Enterprises', 'Warner Bros. Pictures']",106,60,137,77,1.3,"['Drama', 'Thriller', 'Science Fiction']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Paul,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",2011-02-14,2011,2,14,6.708,5304,31.511,"['Universal Pictures', 'Relativity Media', 'Working Title Films', 'Big Talk Productions']",104,40,97,57,1.4,"['Adventure', 'Comedy', 'Science Fiction']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Just Go with It,"A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",2011-02-10,2011,2,10,6.674,5273,44.47,"['Columbia Pictures', 'Happy Madison Productions']",117,80,214,134,1.7,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Adventures of Tintin,"Intrepid young reporter, Tintin, and his loyal dog, Snowy, are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson and Thomson, travel half the world, one step ahead of their enemies, as Tintin endeavors to find the Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",2011-10-24,2011,10,24,6.886,5030,35.594,"['Paramount', 'Columbia Pictures', 'WingNut Films', 'Amblin Entertainment', 'Nickelodeon Movies', 'Hemisphere Media Capital', 'The Kennedy/Marshall Company']",107,130,373,243,1.9,"['Adventure', 'Animation', 'Mystery']",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Cowboys & Aliens,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",2011-07-29,2011,7,29,5.589,4722,25.342,"['DreamWorks Pictures', 'Universal Pictures', 'Reliance Entertainment', 'Relativity Media', 'Imagine Entertainment', 'K/O Paper Products', 'Fairview Entertainment', 'Platinum Studios']",119,163,174,11,0.1,"['Action', 'Science Fiction', 'Thriller', 'Western']",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Moneyball,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",2011-09-23,2011,9,23,7.263,4656,21.137,"['Columbia Pictures', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Sidney Kimmel Entertainment', 'Specialty Films']",134,50,110,60,1.2,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bad Teacher,"A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her.",2011-05-16,2011,5,16,5.579,4404,19.12,"['Columbia Pictures', 'Mosaic Media Group']",92,20,216,196,9.8,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sucker Punch,"A young girl, institutionalised by her abusive stepfather, retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.",2011-03-24,2011,3,24,6.2,4394,26.209,"['Legendary Pictures', 'Lennox House Films', 'Warner Bros. Pictures', 'Cruel & Unusual Films']",110,82,89,7,0.1,"['Action', 'Fantasy', 'Thriller']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
No Strings Attached,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",2011-01-21,2011,1,21,6.289,4383,35.192,"['Katalyst Films', 'The Montecito Picture Company', 'Handsomecharlie Films']",107,25,149,124,5.0,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I Am Number Four,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.",2011-02-18,2011,2,18,6.175,4373,31.194,"['Touchstone Pictures', 'Reliance Big Entertainment', 'Bay Films', 'DreamWorks Pictures']",109,50,149,99,2.0,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Adjustment Bureau,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",2011-03-03,2011,3,3,6.735,4197,31.87,"['Universal Pictures', 'MRC', 'Gambit Pictures']",106,50,127,77,1.5,"['Science Fiction', 'Thriller', 'Romance']",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",2011-09-09,2011,9,9,7.838,4185,38.423,"['Lionsgate', 'Mimran Schur Pictures', 'Solaris Film', 'Filmtribe']",140,25,23,-1,-0.1,"['Drama', 'Action']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bridesmaids,"Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.",2011-05-13,2011,5,13,6.528,4107,40.084,"['Apatow Productions', 'Relativity Media']",125,32,288,255,7.9,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",2011-03-02,2011,3,2,7.4,3914,27.512,"['Color Force', 'Film4 Productions']",107,15,59,44,3.0,"['Drama', 'Romance']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Unknown,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",2011-02-16,2011,2,16,6.667,3588,28.326,"['Studio Babelsberg', 'StudioCanal', 'Dark Castle Entertainment', 'Panda Productions', 'Horticus UK', 'Canal+', 'TF1 Films Production', 'Warner Bros. Pictures', 'Deutscher Filmförderfonds']",113,30,130,100,3.4,"['Action', 'Mystery', 'Thriller']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Puss in Boots,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.",2011-10-27,2011,10,27,6.54,3571,43.41,"['DreamWorks Animation', 'Paramount']",90,130,554,424,3.3,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy']",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Ghost Rider: Spirit of Vengeance,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",2011-12-10,2011,12,10,5.004,3541,36.383,"['Columbia Pictures', 'Marvel Entertainment', 'Crystal Sky Pictures', 'Michael De Luca Productions', 'Hyde Park Films', 'Arad Productions']",96,57,132,75,1.3,"['Action', 'Fantasy', 'Thriller']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Smurfs,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",2011-07-29,2011,7,29,5.767,3522,32.568,"['Sony Pictures Animation', 'Kerner Entertainment Company', 'Columbia Pictures', 'Sony Pictures']",103,110,563,453,4.1,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",2011-09-30,2011,9,30,7.166,3499,14.806,"['Summit Entertainment', 'Mandate Pictures', 'Point Grey Pictures', 'Mandate International']",100,8,39,31,3.9,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Scream 4,"Sidney returns home to Woodsboro on the last stop of her book tour, which brings about the return of Ghost Face and puts her family, friends, and the whole town in danger.",2011-04-11,2011,4,11,6.444,3306,40.34,"['Dimension Films', 'The Weinstein Company', 'Outerbanks Entertainment']",111,40,97,57,1.4,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Battle: Los Angeles,"When once distant UFOs become a terrifying threat attacking Earth, a Marine staff sergeant and his team take it upon themselves to face the enemy and protect what remains of the planet.",2011-03-08,2011,3,8,5.732,3188,30.75,"['Columbia Pictures', 'Relativity Media', 'Original Film', 'Sony Pictures']",116,70,211,141,2.0,"['Science Fiction', 'Action']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
War Horse,"On the brink of the First World War, Albert's beloved horse Joey is sold to the Cavalry by his father. Against the backdrop of the Great War, Joey begins an odyssey full of danger, joy, and sorrow, and he transforms everyone he meets along the way. Meanwhile, Albert, unable to forget his equine friend, searches the battlefields of France to find Joey and bring him home.",2011-12-25,2011,12,25,7.304,3160,22.593,"['Touchstone Pictures', 'Amblin Entertainment', 'Reliance Entertainment', 'DreamWorks Pictures', 'The Kennedy/Marshall Company']",146,66,177,111,1.7,"['War', 'History', 'Drama', 'Adventure']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hanna,"Raised by her father, an ex-CIA agent, in the wilds of Finland, Hanna's upbringing has been geared to making her the perfect assassin. Sent into the world by her father on a mission, Hanna journeys across Europe, eluding agents dispatched after her by a ruthless intelligence operative. As she nears her ultimate target, Hanna faces startling revelations about her existence.",2011-04-07,2011,4,7,6.574,3125,15.158,"['Focus Features', 'Neunte Babelsberg Film', 'Holleran Company', 'Sechzehnte Babelsberg Film']",111,30,63,33,1.1,"['Action', 'Thriller', 'Adventure']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Final Destination 5,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda.",2011-08-12,2011,8,12,6.093,3099,40.477,"['Parallel Zide', 'New Line Cinema', 'Practical Pictures']",92,47,157,110,2.4,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Raid,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.",2012-03-23,2012,3,23,7.421,3090,20.201,"['Celluloid Dreams', 'PT. Merantau Films', 'XYZ Films', 'Stage 6 Films', 'Sony Pictures Classics']",101,1,9,8,7.3,"['Action', 'Thriller', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The Green Hornet,"Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.",2011-01-12,2011,1,12,5.566,2988,25.196,"['Original Film', 'Reliance Big Entertainment', 'Sony Pictures', 'Columbia Pictures']",119,120,227,107,0.9,"['Action', 'Crime', 'Comedy']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Red Riding Hood,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man. Unwilling to lose each other, Valerie and Peter plan to run away together when Valerie's older sister is killed by a werewolf that prowls the dark forest surrounding their village. Panic grips the town as Valerie discovers that she has a unique connection to the beast--one that inexorably draws them together, making her both suspect...and bait",2011-03-10,2011,3,10,5.959,2977,18.009,"['Appian Way', 'Random Films', 'Warner Bros. Pictures']",100,42,89,47,1.1,"['Action', 'Adventure', 'Horror', 'Fantasy', 'Thriller']",1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
The Mechanic,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code and unique talent for cleanly eliminating targets. It's a job that requires professional perfection and total detachment, and Bishop is the best in the business. But when he is ordered to take out his mentor and close friend Harry, Bishop is anything but detached.",2011-01-13,2011,1,13,6.491,2952,44.208,"['Scared Productions', 'CBS Films', 'Millennium Media', 'Nu Image', 'Winkler Films']",93,40,51,11,0.3,"['Action', 'Thriller', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The Lincoln Lawyer,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,2011-03-17,2011,3,17,7.193,2940,22.572,"['Sidney Kimmel Entertainment', 'Lionsgate', 'Lakeshore Entertainment']",119,40,85,45,1.1,"['Crime', 'Drama', 'Thriller']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
The Tree of Life,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",2011-05-17,2011,5,17,6.726,2851,11.998,"['Plan B Entertainment', 'Fox Searchlight Pictures', 'River Road Entertainment', 'Brace Cove Productions', 'Summit Entertainment']",139,32,54,22,0.7,"['Drama', 'Fantasy']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Abduction,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,2011-09-22,2011,9,22,5.9,2741,13.449,"['Vertigo Entertainment', 'Gotham Group', 'Tailor Made', 'Mango Farms', 'Quick Six Entertainment', 'Lionsgate']",106,35,82,47,1.3,"['Thriller', 'Action', 'Mystery']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Tower Heist,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",2011-11-02,2011,11,2,6.07,2722,24.083,"['Universal Pictures', 'Image Entertainment', 'Relativity Media', 'Rat Entertainment']",104,75,152,77,1.0,"['Action', 'Comedy']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mr. Popper's Penguins,"Jim Carrey stars as Tom Popper, a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",2011-06-17,2011,6,17,5.933,2714,16.276,"['Davis Entertainment', 'Dune Entertainment III', 'Dune Entertainment', '20th Century Fox']",94,55,187,132,2.4,"['Comedy', 'Family']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Thing,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",2011-10-12,2011,10,12,6.204,2666,32.171,"['Universal Pictures', 'Morgan Creek', 'Strike Entertainment']",103,35,31,-3,-0.1,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",2011-01-21,2011,1,21,6.3,2639,16.555,"['Storefront Films', 'CBS Films']",86,17,43,26,1.5,"['Drama', 'Fantasy', 'Romance']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
We Need to Talk About Kevin,"After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.",2011-09-28,2011,9,28,7.56,2583,19.858,"['BBC Film', 'Independent', 'UK Film Council', 'Footprint Investment Fund', 'Piccadilly Pictures', 'Lipsync Productions', 'Artina Films', 'Rockinghorse Films', 'Caemhan', 'Panaramic', 'Beryl Betty', 'Atlantic Swiss Productions', 'Oscilloscope']",113,7,10,3,0.5,"['Drama', 'Thriller']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Descendants,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune.",2011-09-09,2011,9,9,6.829,2552,11.498,"['Dune Entertainment', 'Fox Searchlight Pictures', 'Ad Hominem Enterprises']",115,20,177,157,7.9,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Change-Up,"Dave is a married man with two kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain when lightning strikes, they switch bodies.",2011-08-05,2011,8,5,6.134,2550,25.494,"['Universal Pictures', 'Relativity Media', 'Original Film', 'Big Kid Pictures', 'Rampage VFX']",112,52,75,23,0.5,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
We Bought a Zoo,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",2011-12-08,2011,12,8,6.767,2504,31.187,"['Dune Entertainment', 'Estrella Media', 'Vinyl Films', '20th Century Fox']",124,50,120,70,1.4,"['Drama', 'Comedy', 'Family']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,2011-08-31,2011,8,31,5.801,2479,31.351,"['Summit Entertainment', 'Constantin Film', 'Impact Pictures', 'Deutscher Filmförderfonds', 'Nouvelles Éditions de Films (NEF)', 'New Legacy Film', 'Studio Babelsberg']",110,75,132,57,0.8,"['Adventure', 'Action', 'Thriller']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Water for Elephants,"In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.",2011-04-15,2011,4,15,6.9,2399,11.461,"['Big Screen Productions', 'Fox 2000 Pictures', 'Flashpoint Entertainment', 'Dune Entertainment', 'Ingenious Media']",122,38,117,79,2.1,"['Drama', 'Romance']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Tinker Tailor Soldier Spy,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",2011-09-16,2011,9,16,6.618,2396,20.02,"['StudioCanal', 'Kinowelt Filmproduktion', 'CinéCinéma', 'Working Title Films', 'Karla Films', 'Canal+', 'Focus Features', 'TTSS', 'AZ Celtic Films']",127,30,80,50,1.7,"['Drama', 'Thriller', 'Mystery']",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Immortals,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",2011-11-10,2011,11,10,5.979,2384,24.075,"['Relativity Media', 'Virgin Produced', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Mandate International', 'Rogue Pictures']",110,75,226,151,2.0,"['Fantasy', 'Action', 'Drama']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
J. Edgar,"As the face of law enforcement in the United States for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career, and his life.",2011-11-09,2011,11,9,6.21,2264,13.195,"['Imagine Entertainment', 'Malpaso Productions', 'Wintergreen Productions', 'Warner Bros. Pictures']",137,35,84,49,1.4,"['Drama', 'Crime', 'History']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Ides of March,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,2011-09-24,2011,9,24,6.669,2264,14.091,"['Appian Way', 'Crystal City Entertainment', 'Cross Creek Pictures', 'Exclusive Media', 'Smoke House Pictures']",101,12,76,63,5.1,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Season of the Witch,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",2011-01-07,2011,1,7,5.427,2257,34.43,"['Atlas Entertainment', 'Relativity Media', 'Mandate International']",95,40,91,51,1.3,"['Adventure', 'Fantasy', 'Action']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
What's Your Number?,"Ally Darling is realizing she's a little lost in life. Her latest romance has just fizzled out, and she's just been fired from her marketing job. Then she reads an eye-opening magazine article that warns that 96 percent of women who've been with 20 or more lovers are unlikely to find a husband. Determined to turn her life around and prove the article wrong, Ally embarks on a mission to find the perfect mate from among her numerous ex-boyfriends.",2011-09-30,2011,9,30,6.497,2187,17.67,"['Regency Enterprises', 'New Regency Pictures', 'Contrafilm', '20th Century Fox']",106,20,30,10,0.5,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Priest,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.",2011-05-05,2011,5,5,5.766,2072,22.725,"['Michael De Luca Productions', 'Stars Road Entertainment', 'TOKYOPOP', 'Buckaroo Entertainment', 'Screen Gems']",87,60,78,18,0.3,"['Action', 'Fantasy', 'Horror', 'Thriller']",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Paranormal Activity 3,"In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home.",2011-10-19,2011,10,19,5.9,2032,19.853,"['Paramount', 'Blumhouse Productions', 'Solana Films', 'Room 101']",94,5,207,202,40.4,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alvin and the Chipmunks: Chipwrecked,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",2011-12-14,2011,12,14,5.698,2006,35.861,"['Fox 2000 Pictures', '20th Century Fox', 'Regency Enterprises', 'Dune Entertainment', 'Bagdasarian Productions']",87,75,342,267,3.6,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
New Year's Eve,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,2011-12-08,2011,12,8,5.883,2002,29.237,['New Line Cinema'],118,56,142,86,1.5,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Monte Carlo,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,2011-07-01,2011,7,1,6.566,1987,16.208,"['Blossom Films', 'Fox 2000 Pictures', 'Regency Enterprises', 'Di Novi Pictures', 'Dune Entertainment', 'Dune Entertainment III']",109,20,39,19,1.0,"['Adventure', 'Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
