title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016-07-14,2016,7,14,5.371,5982,34.722,"['Ghost Corps', 'Columbia Pictures', 'Village Roadshow Pictures', 'LStar Capital', 'Feigco Entertainment', 'Pascal Pictures', 'The Montecito Picture Company']",117,144,229,85,0.6,"['Action', 'Fantasy', 'Comedy']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016-06-29,2016,6,29,5.888,5921,29.529,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Beagle Pug Films', 'Jerry Weintraub Productions', 'RatPac Entertainment', 'Riche Productions', 'Warner Bros. Pictures']",109,180,356,176,1.0,"['Fantasy', 'Action', 'Adventure']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Inferno,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",2016-10-13,2016,10,13,6.054,5893,31.42,"['Columbia Pictures', 'Imagine Entertainment']",121,75,220,145,1.9,"['Mystery', 'Thriller', 'Action']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Independence Day: Resurgence,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",2016-06-22,2016,6,22,5.3,5683,42.292,"['20th Century Fox', 'TSG Entertainment', 'Centropolis Entertainment', 'Stereo D']",120,165,389,224,1.4,"['Action', 'Adventure', 'Science Fiction']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",2016-10-13,2016,10,13,7.063,5641,32.119,"['Zero Gravity Management', 'Electric City Entertainment', 'RatPac Entertainment', 'Warner Bros. Pictures']",128,44,155,111,2.5,"['Crime', 'Thriller', 'Drama']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
The Magnificent Seven,"Looking to mine for gold, greedy industrialist Bartholomew Bogue seizes control of the Old West town of Rose Creek. With their lives in jeopardy, Emma Cullen and other desperate residents turn to bounty hunter Sam Chisolm for help. Chisolm recruits an eclectic group of gunslingers to take on Bogue and his ruthless henchmen. With a deadly showdown on the horizon, the seven mercenaries soon find themselves fighting for more than just money once the bullets start to fly.",2016-09-14,2016,9,14,6.418,5549,47.368,"['Escape Artists', 'Columbia Pictures', 'Village Roadshow Pictures', 'LStar Capital', 'Pin High Productions', 'Metro-Goldwyn-Mayer']",132,90,162,72,0.8,"['Adventure', 'Action', 'Western']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The 5th Wave,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,2016-01-14,2016,1,14,5.9,5483,29.071,"['LStar Capital', 'Columbia Pictures', 'GK Films', 'Material Pictures']",112,38,109,71,1.9,"['Science Fiction', 'Adventure', 'Action']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Central Intelligence,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",2016-06-16,2016,6,16,6.41,5480,37.828,"['Warner Bros. Pictures', 'New Line Cinema', 'Universal Pictures', 'Bluegrass Films', 'RatPac Entertainment', 'Perfect World Pictures', 'Artists First', 'Principato-Young Entertainment']",107,50,216,166,3.3,"['Action', 'Comedy', 'Crime', 'Mystery']",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
The Girl on the Train,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",2016-10-05,2016,10,5,6.434,5430,20.959,"['Reliance Entertainment', 'DreamWorks Pictures', 'Marc Platt Productions', 'Amblin Partners']",112,45,173,128,2.8,"['Thriller', 'Mystery', 'Drama', 'Crime']",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
Manchester by the Sea,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",2016-11-18,2016,11,18,7.537,5402,23.499,"['Pearl Street Films', 'K Period Media', 'B Story', 'The Affleck/Middleton Project', 'The Media Farm', 'Amazon Studios', 'Big Indie Pictures', 'CMP Entertainment', 'OddLot Entertainment']",138,9,78,69,7.8,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
